
 STORAGE COMPLETE FOR   6900 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.4966E-001  66.98       3.590     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:55:35  SEP 17, 2026 CP=   5037.808

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.19931E-02   54.8296     
   0.29863E-02   54.8296     
   0.39794E-02   54.8296     
   0.49725E-02   54.8296     
   0.59657E-02   54.8296     
   0.69588E-02   54.8296     
   0.79520E-02   54.8296     
   0.89451E-02   54.8296     
   0.99382E-02   54.8296     
   0.10931E-01   54.8296     
   0.11925E-01   54.8296     
   0.12918E-01   54.8296     
   0.13911E-01   54.8296     
   0.14904E-01   54.8296     
   0.15897E-01   54.8296     
   0.16890E-01   54.8296     
   0.17883E-01   54.8296     
   0.18876E-01   54.8296     
   0.19870E-01   54.8296     
   0.20863E-01   54.8296     
   0.21856E-01   54.8296     
   0.22849E-01   54.8296     
   0.23842E-01   54.8296     
   0.24835E-01   54.8296     
   0.25828E-01   54.8296     
   0.26822E-01   54.8296     
   0.27815E-01   54.8296     
   0.28808E-01   54.8296     
   0.29801E-01   54.8296     
   0.30794E-01   54.8296     
   0.31787E-01   54.8296     
   0.32780E-01   54.8296     
   0.33774E-01   54.8296     
   0.34767E-01   54.8296     
   0.35760E-01   54.8296     
   0.36753E-01   54.8296     
   0.37746E-01   54.8296     
   0.38739E-01   54.8296     
   0.39732E-01   54.8296     
   0.40725E-01   54.8296     
   0.41719E-01   54.8296     
   0.42712E-01   54.8296     
   0.43705E-01   54.8296     
   0.44698E-01   54.8296     
   0.45691E-01   54.8296     
   0.46684E-01   54.8296     
   0.47677E-01   54.8296     
   0.48671E-01   54.8296     
   0.49664E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:55:35  SEP 17, 2026 CP=   5037.809

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.50657E-01   54.8296     
   0.51650E-01   54.8296     
   0.52643E-01   54.8296     
   0.53636E-01   54.8296     
   0.54629E-01   54.8296     
   0.55623E-01   54.8296     
   0.56616E-01   54.8296     
   0.57609E-01   54.8296     
   0.58602E-01   54.8296     
   0.59595E-01   54.8296     
   0.60588E-01   54.8296     
   0.61581E-01   54.8296     
   0.62574E-01   54.8296     
   0.63568E-01   54.8296     
   0.64561E-01   54.8296     
   0.65554E-01   54.8296     
   0.66547E-01   54.8296     
   0.67540E-01   54.8296     
   0.68533E-01   54.8296     
   0.69559E-01   55.1227     
   0.70585E-01   55.4978     
   0.71610E-01   55.9001     
   0.72636E-01   56.3109     
   0.73662E-01   56.7207     
   0.74687E-01   57.1241     
   0.75713E-01   57.5177     
   0.76739E-01   57.8999     
   0.77764E-01   58.2694     
   0.78790E-01   58.6258     
   0.79816E-01   58.9691     
   0.80841E-01   59.2994     
   0.80854E-01   59.3034     
   0.80867E-01   59.3074     
   0.80879E-01   59.3113     
   0.80892E-01   59.3151     
   0.80905E-01   59.3187     
   0.80918E-01   59.3221     
   0.80931E-01   59.3255     
   0.80945E-01   59.3288     
   0.80958E-01   59.3319     
   0.80971E-01   59.3348     
   0.80982E-01   59.3370     
   0.81060E-01   59.3496     
   0.81137E-01   59.3587     
   0.81215E-01   59.3652     
   0.81293E-01   59.3696     
   0.81371E-01   59.3725     
   0.81449E-01   59.3742     
   0.81527E-01   59.3748     
   0.81605E-01   59.3745     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:55:35  SEP 17, 2026 CP=   5037.809

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.81866E-01   59.3800     
   0.82126E-01   59.3881     
   0.82387E-01   59.3960     
   0.82647E-01   59.4027     
   0.82908E-01   59.4081     
   0.83169E-01   59.4121     
   0.83429E-01   59.4148     
   0.83690E-01   59.4164     
   0.84535E-01   59.5687     
   0.85379E-01   59.7642     
   0.86224E-01   59.9742     
   0.87069E-01   60.1896     
   0.87913E-01   60.4058     
   0.88758E-01   60.6203     
   0.89603E-01   60.8315     
   0.90448E-01   61.0384     
   0.90553E-01   61.0556     
   0.90659E-01   61.0645     
   0.90764E-01   61.0674     
   0.90869E-01   61.0663     
   0.90975E-01   61.0623     
   0.91080E-01   61.0562     
   0.91186E-01   61.0484     
   0.91291E-01   61.0392     
   0.91304E-01   61.0381     
   0.91317E-01   61.0369     
   0.91330E-01   61.0358     
   0.91342E-01   61.0346     
   0.91355E-01   61.0335     
   0.91368E-01   61.0323     
   0.92426E-01   61.1821     
   0.93484E-01   61.3844     
   0.94542E-01   61.5985     
   0.95600E-01   61.8139     
   0.96658E-01   62.0266     
   0.97716E-01   62.2343     
   0.98774E-01   62.4360     
   0.99832E-01   62.6308     
   0.10086       62.8131     
   0.10188       62.9887     
   0.10291       63.1577     
   0.10393       63.3201     
   0.10496       63.4761     
   0.10599       63.6260     
   0.10701       63.7699     
   0.10804       63.9081     
   0.10906       64.0407     
   0.11009       64.1680     
   0.11111       64.2902     
   0.11214       64.4075     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:55:35  SEP 17, 2026 CP=   5037.809

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.11217       64.4104     
   0.11220       64.4127     
   0.11223       64.4142     
   0.11225       64.4149     
   0.11228       64.4149     
   0.11231       64.4142     
   0.11234       64.4130     
   0.11237       64.4113     
   0.11238       64.4104     
   0.11239       64.4094     
   0.11241       64.4084     
   0.11242       64.4073     
   0.11244       64.4062     
   0.11258       64.3874     
   0.11273       64.3629     
   0.11288       64.3344     
   0.11302       64.3030     
   0.11317       64.2694     
   0.11332       64.2341     
   0.11347       64.1972     
   0.11361       64.1590     
   0.11374       64.1283     
   0.11388       64.1004     
   0.11401       64.0740     
   0.11414       64.0484     
   0.11427       64.0233     
   0.11440       63.9984     
   0.11453       63.9737     
   0.11466       63.9489     
   0.11496       63.9279     
   0.11526       63.9264     
   0.11556       63.9347     
   0.11586       63.9487     
   0.11616       63.9667     
   0.11646       63.9876     
   0.11676       64.0109     
   0.11706       64.0360     
   0.11720       64.0382     
   0.11734       64.0323     
   0.11748       64.0214     
   0.11762       64.0074     
   0.11776       63.9914     
   0.11790       63.9739     
   0.11804       63.9553     
   0.11819       63.9358     
   0.11918       63.9706     
   0.12018       64.0508     
   0.12117       64.1460     
   0.12216       64.2474     
   0.12316       64.3512     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:55:35  SEP 17, 2026 CP=   5037.809

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.12415       64.4549     
   0.12515       64.5572     
   0.12614       64.6572     
   0.12714       64.7545     
   0.12715       64.7560     
   0.12717       64.7574     
   0.12718       64.7586     
   0.12720       64.7597     
   0.12722       64.7605     
   0.12723       64.7613     
   0.12725       64.7618     
   0.12726       64.7621     
   0.12728       64.7623     
   0.12730       64.7622     
   0.12732       64.7618     
   0.12734       64.7611     
   0.12736       64.7602     
   0.12737       64.7590     
   0.12739       64.7577     
   0.12741       64.7561     
   0.12840       64.8044     
   0.12938       64.8808     
   0.13037       64.9621     
   0.13135       65.0435     
   0.13234       65.1236     
   0.13332       65.2018     
   0.13430       65.2778     
   0.13529       65.3513     
