model,forward_pass,experts_selected,phase,start_s,end_s,duration_s,power_w
LLaMA-MoE 6.7B,1,1,attention,0.0,0.1178596,0.1178596,700.0000
LLaMA-MoE 6.7B,1,1,gate,0.1178596,0.118449731,0.000590131,280.0000
LLaMA-MoE 6.7B,1,1,alltoall_1,0.118449731,0.356826562,0.238376831,84.0000
LLaMA-MoE 6.7B,1,1,experts,0.356826562,0.517276202,0.16044964,700.0000
LLaMA-MoE 6.7B,1,1,alltoall_2,0.517276202,0.755653033,0.238376831,84.0000
LLaMA-MoE 6.7B,1,1,addnorm,0.755653033,0.757766978,0.002113945,140.0000
LLaMA-MoE 6.7B,2,1,attention,0.757766978,0.875626578,0.1178596,700.0000
LLaMA-MoE 6.7B,2,1,gate,0.875626578,0.876216709,0.000590131,280.0000
LLaMA-MoE 6.7B,2,1,alltoall_1,0.876216709,1.11459354,0.238376831,84.0000
LLaMA-MoE 6.7B,2,1,experts,1.11459354,1.27504318,0.16044964,700.0000
LLaMA-MoE 6.7B,2,1,alltoall_2,1.27504318,1.513420011,0.238376831,84.0000
LLaMA-MoE 6.7B,2,1,addnorm,1.513420011,1.515533956,0.002113945,140.0000
LLaMA-MoE 6.7B,3,1,attention,1.515533956,1.633393556,0.1178596,700.0000
LLaMA-MoE 6.7B,3,1,gate,1.633393556,1.633983687,0.000590131,280.0000
LLaMA-MoE 6.7B,3,1,alltoall_1,1.633983687,1.872360518,0.238376831,84.0000
LLaMA-MoE 6.7B,3,1,experts,1.872360518,2.032810158,0.16044964,700.0000
LLaMA-MoE 6.7B,3,1,alltoall_2,2.032810158,2.271186989,0.238376831,84.0000
LLaMA-MoE 6.7B,3,1,addnorm,2.271186989,2.273300934,0.002113945,140.0000
LLaMA-MoE 6.7B,4,1,attention,2.273300934,2.391160534,0.1178596,700.0000
LLaMA-MoE 6.7B,4,1,gate,2.391160534,2.391750665,0.000590131,280.0000
LLaMA-MoE 6.7B,4,1,alltoall_1,2.391750665,2.630127496,0.238376831,84.0000
LLaMA-MoE 6.7B,4,1,experts,2.630127496,2.790577136,0.16044964,700.0000
LLaMA-MoE 6.7B,4,1,alltoall_2,2.790577136,3.028953967,0.238376831,84.0000
LLaMA-MoE 6.7B,4,1,addnorm,3.028953967,3.031067912,0.002113945,140.0000
LLaMA-MoE 6.7B,5,1,attention,3.031067912,3.148927512,0.1178596,700.0000
LLaMA-MoE 6.7B,5,1,gate,3.148927512,3.149517643,0.000590131,280.0000
