model,iteration,direction,phase,start_s,end_s,duration_s,power_w
llama-moe-6.7b,6,fwd,alltoall_1,7.058657359,7.408659896,0.350002537,84.0000
llama-moe-6.7b,6,fwd,experts,7.408659896,7.410902539,0.002242643,700.0000
llama-moe-6.7b,6,fwd,alltoall_2,7.410902539,7.760905076,0.350002537,84.0000
llama-moe-6.7b,6,fwd,addnorm,7.760905076,7.760928179,0.000023104,140.0000
llama-moe-6.7b,6,bwd,addnorm,7.760928179,7.760969677,0.000041497,140.0000
llama-moe-6.7b,6,bwd,alltoall_2,7.760969677,8.110972214,0.350002537,84.0000
llama-moe-6.7b,6,bwd,experts,8.110972214,8.112250104,0.001277890,700.0000
llama-moe-6.7b,6,bwd,alltoall_1,8.112250104,8.462252641,0.350002537,84.0000
llama-moe-6.7b,6,bwd,gate,8.462252641,8.462672211,0.000419570,280.0000
llama-moe-6.7b,6,bwd,attention,8.462672211,8.467327822,0.004655611,700.0000
llama-moe-6.7b,7,fwd,attention,8.467327822,8.469657214,0.002329392,700.0000
llama-moe-6.7b,7,fwd,gate,8.469657214,8.469878663,0.000221449,280.0000
llama-moe-6.7b,7,fwd,alltoall_1,8.469878663,8.819881200,0.350002537,84.0000
llama-moe-6.7b,7,fwd,experts,8.819881200,8.822123842,0.002242643,700.0000
llama-moe-6.7b,7,fwd,alltoall_2,8.822123842,9.172126379,0.350002537,84.0000
llama-moe-6.7b,7,fwd,addnorm,9.172126379,9.172149483,0.000023104,140.0000
llama-moe-6.7b,7,bwd,addnorm,9.172149483,9.172190980,0.000041497,140.0000
llama-moe-6.7b,7,bwd,alltoall_2,9.172190980,9.522193517,0.350002537,84.0000
llama-moe-6.7b,7,bwd,experts,9.522193517,9.523471408,0.001277890,700.0000
llama-moe-6.7b,7,bwd,alltoall_1,9.523471408,9.873473945,0.350002537,84.0000
llama-moe-6.7b,7,bwd,gate,9.873473945,9.873893514,0.000419570,280.0000
llama-moe-6.7b,7,bwd,attention,9.873893514,9.878549125,0.004655611,700.0000
llama-moe-6.7b,8,fwd,attention,9.878549125,9.880878517,0.002329392,700.0000
llama-moe-6.7b,8,fwd,gate,9.880878517,9.881099966,0.000221449,280.0000
llama-moe-6.7b,8,fwd,alltoall_1,9.881099966,10.231102503,0.350002537,84.0000
llama-moe-6.7b,8,fwd,experts,10.231102503,10.233345146,0.002242643,700.0000
llama-moe-6.7b,8,fwd,alltoall_2,10.233345146,10.583347683,0.350002537,84.0000
llama-moe-6.7b,8,fwd,addnorm,10.583347683,10.583370787,0.000023104,140.0000
llama-moe-6.7b,8,bwd,addnorm,10.583370787,10.583412284,0.000041497,140.0000
llama-moe-6.7b,8,bwd,alltoall_2,10.583412284,10.933414821,0.350002537,84.0000
llama-moe-6.7b,8,bwd,experts,10.933414821,10.934692712,0.001277890,700.0000
llama-moe-6.7b,8,bwd,alltoall_1,10.934692712,11.284695249,0.350002537,84.0000
llama-moe-6.7b,8,bwd,gate,11.284695249,11.285114818,0.000419570,280.0000
llama-moe-6.7b,8,bwd,attention,11.285114818,11.289770429,0.004655611,700.0000
llama-moe-6.7b,9,fwd,attention,11.289770429,11.292099821,0.002329392,700.0000
llama-moe-6.7b,9,fwd,gate,11.292099821,11.292321270,0.000221449,280.0000
llama-moe-6.7b,9,fwd,alltoall_1,11.292321270,11.642323807,0.350002537,84.0000
llama-moe-6.7b,9,fwd,experts,11.642323807,11.644566450,0.002242643,700.0000
llama-moe-6.7b,9,fwd,alltoall_2,11.644566450,11.994568987,0.350002537,84.0000
llama-moe-6.7b,9,fwd,addnorm,11.994568987,11.994592090,0.000023104,140.0000
llama-moe-6.7b,9,bwd,addnorm,11.994592090,11.994633588,0.000041497,140.0000
llama-moe-6.7b,9,bwd,alltoall_2,11.994633588,12.344636125,0.350002537,84.0000
llama-moe-6.7b,9,bwd,experts,12.344636125,12.345914015,0.001277890,700.0000
llama-moe-6.7b,9,bwd,alltoall_1,12.345914015,12.695916552,0.350002537,84.0000
llama-moe-6.7b,9,bwd,gate,12.695916552,12.696336122,0.000419570,280.0000
llama-moe-6.7b,9,bwd,attention,12.696336122,12.700991733,0.004655611,700.0000
llama-moe-6.7b,10,fwd,attention,12.700991733,12.703321125,0.002329392,700.0000
llama-moe-6.7b,10,fwd,gate,12.703321125,12.703542574,0.000221449,280.0000
llama-moe-6.7b,10,fwd,alltoall_1,12.703542574,13.053545111,0.350002537,84.0000
llama-moe-6.7b,10,fwd,experts,13.053545111,13.055787753,0.002242643,700.0000
llama-moe-6.7b,10,fwd,alltoall_2,13.055787753,13.405790290,0.350002537,84.0000
llama-moe-6.7b,10,fwd,addnorm,13.405790290,13.405813394,0.000023104,140.0000
llama-moe-6.7b,10,bwd,addnorm,13.405813394,13.405854891,0.000041497,140.0000
llama-moe-6.7b,10,bwd,alltoall_2,13.405854891,13.755857428,0.350002537,84.0000
llama-moe-6.7b,10,bwd,experts,13.755857428,13.757135319,0.001277890,700.0000
llama-moe-6.7b,10,bwd,alltoall_1,13.757135319,14.107137856,0.350002537,84.0000
llama-moe-6.7b,10,bwd,gate,14.107137856,14.107557425,0.000419570,280.0000
llama-moe-6.7b,10,bwd,attention,14.107557425,14.112213036,0.004655611,700.0000
