model,iteration,direction,phase,start_s,end_s,duration_s,power_w
llama-dev33,1,sim,idle,0.000000000,0.022836837,0.022836837,84.0000
llama-dev33,1,sim,attention,0.022836837,0.035144803,0.012307966,700.0000
llama-dev33,1,sim,addnorm,0.035144803,0.035221193,0.000076391,140.0000
llama-dev33,1,sim,gate,0.035221193,0.035284956,0.000063763,280.0000
llama-dev33,1,sim,idle,0.035284956,0.035918606,0.000633649,84.0000
llama-dev33,1,sim,gate,0.035918606,0.038003098,0.002084493,280.0000
llama-dev33,1,sim,experts,0.038003098,0.044758666,0.006755568,700.0000
llama-dev33,1,sim,idle,0.044758666,0.045607321,0.000848654,84.0000
llama-dev33,1,sim,addnorm,0.045607321,0.045683714,0.000076393,140.0000
llama-dev33,1,sim,attention,0.045683714,0.057991680,0.012307966,700.0000
llama-dev33,1,sim,addnorm,0.057991680,0.058068071,0.000076391,140.0000
llama-dev33,1,sim,gate,0.058068071,0.058131834,0.000063763,280.0000
llama-dev33,1,sim,idle,0.058131834,0.058765483,0.000633649,84.0000
llama-dev33,1,sim,gate,0.058765483,0.060849976,0.002084493,280.0000
llama-dev33,1,sim,experts,0.060849976,0.067605544,0.006755568,700.0000
llama-dev33,1,sim,idle,0.067605544,0.068454199,0.000848654,84.0000
llama-dev33,1,sim,addnorm,0.068454199,0.068530592,0.000076393,140.0000
llama-dev33,1,sim,attention,0.068530592,0.080838558,0.012307966,700.0000
llama-dev33,1,sim,addnorm,0.080838558,0.080914949,0.000076391,140.0000
llama-dev33,1,sim,gate,0.080914949,0.080978712,0.000063763,280.0000
llama-dev33,1,sim,idle,0.080978712,0.081612361,0.000633649,84.0000
llama-dev33,1,sim,gate,0.081612361,0.083696854,0.002084493,280.0000
llama-dev33,1,sim,experts,0.083696854,0.090452422,0.006755568,700.0000
llama-dev33,1,sim,idle,0.090452422,0.091301076,0.000848654,84.0000
llama-dev33,1,sim,addnorm,0.091301076,0.091377470,0.000076393,140.0000
llama-dev33,1,sim,attention,0.091377470,0.103685435,0.012307966,700.0000
llama-dev33,1,sim,addnorm,0.103685435,0.103761826,0.000076391,140.0000
llama-dev33,1,sim,gate,0.103761826,0.103815234,0.000053408,280.0000
llama-dev33,1,sim,gate,0.103815234,0.103825589,0.000010355,280.0000
llama-dev33,1,sim,idle,0.103825589,0.104448883,0.000623294,84.0000
llama-dev33,1,sim,gate,0.104448883,0.106533376,0.002084493,280.0000
llama-dev33,1,sim,experts,0.106533376,0.113288944,0.006755568,700.0000
llama-dev33,1,sim,idle,0.113288944,0.114137599,0.000848654,84.0000
llama-dev33,1,sim,addnorm,0.114137599,0.114213992,0.000076393,140.0000
llama-dev33,1,sim,idle,0.114213992,0.183022209,0.068808217,84.0000
llama-dev33,1,sim,addnorm,0.183022209,0.183173686,0.000151477,140.0000
llama-dev33,1,sim,gate,0.183173686,0.183177107,0.000003421,280.0000
llama-dev33,1,sim,idle,0.183177107,0.183807335,0.000630228,84.0000
llama-dev33,1,sim,gate,0.183807335,0.183898829,0.000091494,280.0000
llama-dev33,1,sim,experts,0.183898829,0.188490708,0.004591878,700.0000
llama-dev33,1,sim,idle,0.188490708,0.189125863,0.000635155,84.0000
llama-dev33,1,sim,gate,0.189125863,0.189247934,0.000122070,280.0000
llama-dev33,1,sim,addnorm,0.189247934,0.189399401,0.000151467,140.0000
llama-dev33,1,sim,idle,0.189399401,0.200009706,0.010610306,84.0000
llama-dev33,1,sim,attention,0.200009706,0.224625638,0.024615932,700.0000
llama-dev33,1,sim,idle,0.224625638,0.243706990,0.019081352,84.0000
llama-dev33,1,sim,addnorm,0.243706990,0.243858467,0.000151477,140.0000
llama-dev33,1,sim,gate,0.243858467,0.243861888,0.000003421,280.0000
llama-dev33,1,sim,idle,0.243861888,0.244492116,0.000630228,84.0000
llama-dev33,1,sim,gate,0.244492116,0.244583611,0.000091494,280.0000
llama-dev33,1,sim,experts,0.244583611,0.249175489,0.004591878,700.0000
llama-dev33,1,sim,idle,0.249175489,0.249810644,0.000635155,84.0000
llama-dev33,1,sim,gate,0.249810644,0.249932715,0.000122070,280.0000
llama-dev33,1,sim,addnorm,0.249932715,0.250084182,0.000151467,140.0000
llama-dev33,1,sim,idle,0.250084182,0.255667044,0.005582862,84.0000
llama-dev33,1,sim,attention,0.255667044,0.280282976,0.024615932,700.0000
llama-dev33,1,sim,idle,0.280282976,0.304432192,0.024149216,84.0000
llama-dev33,1,sim,addnorm,0.304432192,0.304583669,0.000151477,140.0000
llama-dev33,1,sim,gate,0.304583669,0.304587090,0.000003421,280.0000
llama-dev33,1,sim,idle,0.304587090,0.305217318,0.000630228,84.0000
llama-dev33,1,sim,gate,0.305217318,0.305308813,0.000091494,280.0000
llama-dev33,1,sim,experts,0.305308813,0.309900691,0.004591878,700.0000
llama-dev33,1,sim,idle,0.309900691,0.310535846,0.000635155,84.0000
llama-dev33,1,sim,gate,0.310535846,0.310657917,0.000122070,280.0000
llama-dev33,1,sim,addnorm,0.310657917,0.310809384,0.000151467,140.0000
llama-dev33,1,sim,idle,0.310809384,0.324049819,0.013240435,84.0000
llama-dev33,1,sim,attention,0.324049819,0.348665750,0.024615932,700.0000
