iter,label,layer,direction,kind,start_s,end_s,duration_ms,nbytes
0,dispatch,0,fwd,a2a,1789849142.492477,1789849142.494220,1.7428,536870912
0,expert,0,fwd,gemm,1789849142.494223,1789849142.541116,46.8924,0
0,expert,0,bwd,gemm,1789849143.269536,1789849143.339114,69.5784,0
0,combine,0,fwd,a2a,1789849142.541118,1789849142.543002,1.8845,545718272
0,dispatch,1,fwd,a2a,1789849142.562700,1789849142.565998,3.2978,536870912
0,expert,1,fwd,gemm,1789849142.566000,1789849142.600784,34.7834,0
0,expert,1,bwd,gemm,1789849143.153141,1789849143.219851,66.7097,0
0,combine,1,fwd,a2a,1789849142.600790,1789849142.602604,1.8145,542646272
0,dispatch,2,fwd,a2a,1789849142.623368,1789849142.626666,3.2978,536870912
0,expert,2,fwd,gemm,1789849142.626668,1789849142.662324,35.6554,0
0,expert,2,bwd,gemm,1789849143.040481,1789849143.108450,67.9688,0
0,combine,2,fwd,a2a,1789849142.662329,1789849142.663989,1.6602,539148288
0,dispatch,3,fwd,a2a,1789849142.686918,1789849142.688824,1.9051,536870912
0,expert,3,fwd,gemm,1789849142.688829,1789849142.725539,36.7102,0
0,expert,3,bwd,gemm,1789849142.738165,1789849142.808333,70.1681,0
0,combine,3,fwd,a2a,1789849142.725543,1789849142.727196,1.6521,545218560
0,combine,3,bwd,a2a,1789849142.736270,1789849142.738163,1.8932,536870912
0,dispatch,3,bwd,a2a,1789849142.808336,1789849142.812802,4.4657,545218560
0,combine,2,bwd,a2a,1789849143.038657,1789849143.040477,1.8205,536870912
0,dispatch,2,bwd,a2a,1789849143.108454,1789849143.110148,1.6944,539148288
0,combine,1,bwd,a2a,1789849143.151579,1789849143.153138,1.5593,536870912
0,dispatch,1,bwd,a2a,1789849143.219852,1789849143.224139,4.2867,542646272
0,combine,0,bwd,a2a,1789849143.264102,1789849143.269534,5.4318,536870912
0,dispatch,0,bwd,a2a,1789849143.339118,1789849143.341781,2.6628,545718272
1,dispatch,0,fwd,a2a,1789849143.395416,1789849143.397485,2.0684,536870912
1,expert,0,fwd,gemm,1789849143.397488,1789849143.433833,36.3449,0
1,expert,0,bwd,gemm,1789849144.122849,1789849144.191143,68.2941,0
1,combine,0,fwd,a2a,1789849143.433836,1789849143.435543,1.7076,547233792
1,dispatch,1,fwd,a2a,1789849143.457021,1789849143.459235,2.2142,536870912
1,expert,1,fwd,gemm,1789849143.459238,1789849143.492932,33.6933,0
1,expert,1,bwd,gemm,1789849143.970671,1789849144.036166,65.4957,0
1,combine,1,fwd,a2a,1789849143.492935,1789849143.497787,4.8518,536338432
1,dispatch,2,fwd,a2a,1789849143.519182,1789849143.521091,1.9092,536870912
1,expert,2,fwd,gemm,1789849143.521094,1789849143.555799,34.7052,0
1,expert,2,bwd,gemm,1789849143.836378,1789849143.905122,68.7440,0
1,combine,2,fwd,a2a,1789849143.555802,1789849143.580710,24.9073,544071680
1,dispatch,3,fwd,a2a,1789849143.601397,1789849143.603203,1.8061,536870912
1,expert,3,fwd,gemm,1789849143.603206,1789849143.682439,79.2330,0
1,expert,3,bwd,gemm,1789849143.694740,1789849143.764467,69.7276,0
1,combine,3,fwd,a2a,1789849143.682443,1789849143.684186,1.7429,554319872
1,combine,3,bwd,a2a,1789849143.693280,1789849143.694737,1.4569,536870912
1,dispatch,3,bwd,a2a,1789849143.764470,1789849143.792705,28.2348,554319872
1,combine,2,bwd,a2a,1789849143.830357,1789849143.836376,6.0186,536870912
1,dispatch,2,bwd,a2a,1789849143.905125,1789849143.925241,20.1159,544071680
1,combine,1,bwd,a2a,1789849143.965426,1789849143.970668,5.2420,536870912
1,dispatch,1,bwd,a2a,1789849144.036169,1789849144.075303,39.1333,536338432
1,combine,0,bwd,a2a,1789849144.112601,1789849144.122846,10.2453,536870912
1,dispatch,0,bwd,a2a,1789849144.191146,1789849144.217679,26.5335,547233792
2,dispatch,0,fwd,a2a,1789849144.276800,1789849144.278841,2.0401,536870912
2,expert,0,fwd,gemm,1789849144.278844,1789849144.312876,34.0329,0
2,expert,0,bwd,gemm,1789849145.041011,1789849145.107542,66.5313,0
2,combine,0,fwd,a2a,1789849144.312880,1789849144.330190,17.3108,541646848
2,dispatch,1,fwd,a2a,1789849144.355884,1789849144.357646,1.7612,536870912
2,expert,1,fwd,gemm,1789849144.357649,1789849144.391496,33.8472,0
2,expert,1,bwd,gemm,1789849144.901141,1789849144.967566,66.4242,0
2,combine,1,fwd,a2a,1789849144.391499,1789849144.438116,46.6169,541450240
2,dispatch,2,fwd,a2a,1789849144.460993,1789849144.462963,1.9701,536870912
2,expert,2,fwd,gemm,1789849144.462966,1789849144.496269,33.3025,0
2,expert,2,bwd,gemm,1789849144.747620,1789849144.812940,65.3194,0
2,combine,2,fwd,a2a,1789849144.496272,1789849144.514854,18.5823,534544384
2,dispatch,3,fwd,a2a,1789849144.540300,1789849144.542308,2.0085,536870912
2,expert,3,fwd,gemm,1789849144.542311,1789849144.576765,34.4539,0
2,expert,3,bwd,gemm,1789849144.600194,1789849144.669236,69.0419,0
2,combine,3,fwd,a2a,1789849144.576768,1789849144.587039,10.2716,548839424
2,combine,3,bwd,a2a,1789849144.596353,1789849144.600192,3.8391,536870912
2,dispatch,3,bwd,a2a,1789849144.669239,1789849144.700691,31.4517,548839424
2,combine,2,bwd,a2a,1789849144.738218,1789849144.747617,9.3991,536870912
2,dispatch,2,bwd,a2a,1789849144.812943,1789849144.853053,40.1108,534544384
2,combine,1,bwd,a2a,1789849144.890477,1789849144.901139,10.6617,536870912
2,dispatch,1,bwd,a2a,1789849144.967568,1789849144.990064,22.4959,541450240
2,combine,0,bwd,a2a,1789849145.027864,1789849145.041008,13.1448,536870912
2,dispatch,0,bwd,a2a,1789849145.107545,1789849145.136789,29.2435,541646848
3,dispatch,0,fwd,a2a,1789849145.204571,1789849145.206666,2.0951,536870912
3,expert,0,fwd,gemm,1789849145.206669,1789849145.240509,33.8396,0
3,expert,0,bwd,gemm,1789849145.952894,1789849146.018945,66.0511,0
3,combine,0,fwd,a2a,1789849145.240512,1789849145.254776,14.2638,539697152
3,dispatch,1,fwd,a2a,1789849145.282999,1789849145.285273,2.2737,536870912
3,expert,1,fwd,gemm,1789849145.285276,1789849145.319161,33.8857,0
3,expert,1,bwd,gemm,1789849145.802528,1789849145.870284,67.7559,0
3,combine,1,fwd,a2a,1789849145.319164,1789849145.332981,13.8168,539549696
3,dispatch,2,fwd,a2a,1789849145.360175,1789849145.362295,2.1195,536870912
3,expert,2,fwd,gemm,1789849145.362298,1789849145.396245,33.9475,0
