iter,label,layer,direction,kind,start_s,end_s,duration_ms,nbytes
0,dispatch,0,fwd,a2a,1789849142.492790,1789849142.494592,1.8020,536870912
0,expert,0,fwd,gemm,1789849142.494595,1789849142.541841,47.2466,0
0,expert,0,bwd,gemm,1789849143.269618,1789849143.340322,70.7041,0
0,combine,0,fwd,a2a,1789849142.541845,1789849142.543584,1.7395,551002112
0,dispatch,1,fwd,a2a,1789849142.563017,1789849142.566259,3.2426,536870912
0,expert,1,fwd,gemm,1789849142.566263,1789849142.601316,35.0530,0
0,expert,1,bwd,gemm,1789849143.153122,1789849143.222531,69.4089,0
0,combine,1,fwd,a2a,1789849142.601317,1789849142.603055,1.7374,545685504
0,dispatch,2,fwd,a2a,1789849142.623700,1789849142.627036,3.3358,536870912
0,expert,2,fwd,gemm,1789849142.627036,1789849142.662158,35.1216,0
0,expert,2,bwd,gemm,1789849143.041099,1789849143.106934,65.8356,0
0,combine,2,fwd,a2a,1789849142.662161,1789849142.663989,1.8282,536010752
0,dispatch,3,fwd,a2a,1789849142.685673,1789849142.689002,3.3294,536870912
0,expert,3,fwd,gemm,1789849142.689005,1789849142.723300,34.2951,0
0,expert,3,bwd,gemm,1789849142.738302,1789849142.805207,66.9053,0
0,combine,3,fwd,a2a,1789849142.723306,1789849142.727066,3.7606,530694144
0,combine,3,bwd,a2a,1789849142.735993,1789849142.738298,2.3053,536870912
0,dispatch,3,bwd,a2a,1789849142.805212,1789849142.813318,8.1068,530694144
0,combine,2,bwd,a2a,1789849143.039364,1789849143.041097,1.7325,536870912
0,dispatch,2,bwd,a2a,1789849143.106935,1789849143.110184,3.2499,536010752
0,combine,1,bwd,a2a,1789849143.150228,1789849143.153122,2.8947,536870912
0,dispatch,1,bwd,a2a,1789849143.222536,1789849143.224473,1.9372,545685504
0,combine,0,bwd,a2a,1789849143.264458,1789849143.269615,5.1576,536870912
0,dispatch,0,bwd,a2a,1789849143.340325,1789849143.342402,2.0766,551002112
1,dispatch,0,fwd,a2a,1789849143.395358,1789849143.397560,2.2022,536870912
1,expert,0,fwd,gemm,1789849143.397563,1789849143.432808,35.2444,0
1,expert,0,bwd,gemm,1789849144.122748,1789849144.191505,68.7572,0
1,combine,0,fwd,a2a,1789849143.432811,1789849143.435157,2.3458,544620544
1,dispatch,1,fwd,a2a,1789849143.457015,1789849143.459021,2.0058,536870912
1,expert,1,fwd,gemm,1789849143.459024,1789849143.496445,37.4208,0
1,expert,1,bwd,gemm,1789849143.970424,1789849144.039952,69.5279,0
1,combine,1,fwd,a2a,1789849143.496448,1789849143.498191,1.7427,546816000
1,dispatch,2,fwd,a2a,1789849143.519177,1789849143.520983,1.8058,536870912
1,expert,2,fwd,gemm,1789849143.520986,1789849143.556831,35.8451,0
1,expert,2,bwd,gemm,1789849143.836404,1789849143.904316,67.9113,0
1,combine,2,fwd,a2a,1789849143.556834,1789849143.580564,23.7304,539279360
1,dispatch,3,fwd,a2a,1789849143.601404,1789849143.603424,2.0194,536870912
1,expert,3,fwd,gemm,1789849143.603427,1789849143.636704,33.2774,0
1,expert,3,bwd,gemm,1789849143.694617,1789849143.761270,66.6533,0
1,combine,3,fwd,a2a,1789849143.636708,1789849143.683790,47.0824,526983168
1,combine,3,bwd,a2a,1789849143.692341,1789849143.694614,2.2733,536870912
1,dispatch,3,bwd,a2a,1789849143.761273,1789849143.792418,31.1445,526983168
1,combine,2,bwd,a2a,1789849143.830216,1789849143.836401,6.1854,536870912
1,dispatch,2,bwd,a2a,1789849143.904319,1789849143.925194,20.8757,539279360
1,combine,1,bwd,a2a,1789849143.965435,1789849143.970421,4.9866,536870912
1,dispatch,1,bwd,a2a,1789849144.039955,1789849144.075430,35.4744,546816000
1,combine,0,bwd,a2a,1789849144.113191,1789849144.122745,9.5537,536870912
1,dispatch,0,bwd,a2a,1789849144.191508,1789849144.217980,26.4716,544620544
2,dispatch,0,fwd,a2a,1789849144.276815,1789849144.278876,2.0609,536870912
2,expert,0,fwd,gemm,1789849144.278879,1789849144.313608,34.7291,0
2,expert,0,bwd,gemm,1789849145.040937,1789849145.110142,69.2051,0
2,combine,0,fwd,a2a,1789849144.313611,1789849144.330180,16.5692,550199296
2,dispatch,1,fwd,a2a,1789849144.355882,1789849144.357905,2.0230,536870912
2,expert,1,fwd,gemm,1789849144.357908,1789849144.436831,78.9232,0
2,expert,1,bwd,gemm,1789849144.901433,1789849144.969617,68.1848,0
2,combine,1,fwd,a2a,1789849144.436835,1789849144.438552,1.7176,547299328
2,dispatch,2,fwd,a2a,1789849144.461004,1789849144.462963,1.9592,536870912
2,expert,2,fwd,gemm,1789849144.462966,1789849144.500134,37.1677,0
2,expert,2,bwd,gemm,1789849144.747922,1789849144.816119,68.1969,0
2,combine,2,fwd,a2a,1789849144.500138,1789849144.514267,14.1288,535969792
2,dispatch,3,fwd,a2a,1789849144.540306,1789849144.542307,2.0019,536870912
2,expert,3,fwd,gemm,1789849144.542311,1789849144.584413,42.1027,0
2,expert,3,bwd,gemm,1789849144.599846,1789849144.666398,66.5517,0
2,combine,3,fwd,a2a,1789849144.584417,1789849144.587265,2.8479,531439616
2,combine,3,bwd,a2a,1789849144.596052,1789849144.599844,3.7916,536870912
2,dispatch,3,bwd,a2a,1789849144.666401,1789849144.700872,34.4713,531439616
2,combine,2,bwd,a2a,1789849144.738822,1789849144.747920,9.0981,536870912
2,dispatch,2,bwd,a2a,1789849144.816122,1789849144.852872,36.7500,535969792
2,combine,1,bwd,a2a,1789849144.891254,1789849144.901430,10.1751,536870912
2,dispatch,1,bwd,a2a,1789849144.969620,1789849144.990230,20.6102,547299328
2,combine,0,bwd,a2a,1789849145.028874,1789849145.040934,12.0599,536870912
2,dispatch,0,bwd,a2a,1789849145.110146,1789849145.136736,26.5908,550199296
3,dispatch,0,fwd,a2a,1789849145.204575,1789849145.206701,2.1265,536870912
3,expert,0,fwd,gemm,1789849145.206704,1789849145.241497,34.7930,0
3,expert,0,bwd,gemm,1789849145.953521,1789849146.023016,69.4956,0
3,combine,0,fwd,a2a,1789849145.241500,1789849145.255252,13.7513,549175296
3,dispatch,1,fwd,a2a,1789849145.283006,1789849145.284949,1.9426,536870912
3,expert,1,fwd,gemm,1789849145.284953,1789849145.319813,34.8604,0
3,expert,1,bwd,gemm,1789849145.802194,1789849145.871074,68.8797,0
3,combine,1,fwd,a2a,1789849145.319817,1789849145.333233,13.4163,552484864
3,dispatch,2,fwd,a2a,1789849145.360185,1789849145.362329,2.1441,536870912
3,expert,2,fwd,gemm,1789849145.362333,1789849145.396588,34.2550,0
3,expert,2,bwd,gemm,1789849145.654290,1789849145.722499,68.2092,0
3,combine,2,fwd,a2a,1789849145.396591,1789849145.410107,13.5163,541032448
3,dispatch,3,fwd,a2a,1789849145.437383,1789849145.439401,2.0183,536870912
3,expert,3,fwd,gemm,1789849145.439404,1789849145.473212,33.8074,0
3,expert,3,bwd,gemm,1789849145.501062,1789849145.567086,66.0244,0
3,combine,3,fwd,a2a,1789849145.473216,1789849145.487072,13.8568,529244160
