iter,label,layer,direction,kind,start_s,end_s,duration_ms,nbytes
0,dispatch,0,fwd,a2a,1789849142.492495,1789849142.494355,1.8601,536870912
0,expert,0,fwd,gemm,1789849142.494358,1789849142.541296,46.9385,0
0,expert,0,bwd,gemm,1789849143.269077,1789849143.338546,69.4691,0
0,combine,0,fwd,a2a,1789849142.541299,1789849142.543102,1.8023,539140096
0,dispatch,1,fwd,a2a,1789849142.562729,1789849142.565977,3.2482,536870912
0,expert,1,fwd,gemm,1789849142.565979,1789849142.600071,34.0916,0
0,expert,1,bwd,gemm,1789849143.153002,1789849143.220656,67.6536,0
0,combine,1,fwd,a2a,1789849142.600077,1789849142.602830,2.7534,533299200
0,dispatch,2,fwd,a2a,1789849142.623405,1789849142.626686,3.2815,536870912
0,expert,2,fwd,gemm,1789849142.626690,1789849142.662078,35.3883,0
0,expert,2,bwd,gemm,1789849143.040721,1789849143.106749,66.0282,0
0,combine,2,fwd,a2a,1789849142.662081,1789849142.663751,1.6704,530874368
0,dispatch,3,fwd,a2a,1789849142.685366,1789849142.688569,3.2032,536870912
0,expert,3,fwd,gemm,1789849142.688573,1789849142.724077,35.5044,0
0,expert,3,bwd,gemm,1789849142.737920,1789849142.805652,67.7315,0
0,combine,3,fwd,a2a,1789849142.724081,1789849142.726954,2.8731,529309696
0,combine,3,bwd,a2a,1789849142.735881,1789849142.737915,2.0340,536870912
0,dispatch,3,bwd,a2a,1789849142.805655,1789849142.812804,7.1494,529309696
0,combine,2,bwd,a2a,1789849143.038815,1789849143.040718,1.9030,536870912
0,dispatch,2,bwd,a2a,1789849143.106752,1789849143.109723,2.9703,530874368
0,combine,1,bwd,a2a,1789849143.150022,1789849143.152999,2.9777,536870912
0,dispatch,1,bwd,a2a,1789849143.220659,1789849143.224388,3.7296,533299200
0,combine,0,bwd,a2a,1789849143.264791,1789849143.269073,4.2812,536870912
0,dispatch,0,bwd,a2a,1789849143.338549,1789849143.341582,3.0325,539140096
1,dispatch,0,fwd,a2a,1789849143.395518,1789849143.397355,1.8369,536870912
1,expert,0,fwd,gemm,1789849143.397357,1789849143.432433,35.0753,0
1,expert,0,bwd,gemm,1789849144.122631,1789849144.189372,66.7407,0
1,combine,0,fwd,a2a,1789849143.432436,1789849143.435555,3.1194,536641536
1,dispatch,1,fwd,a2a,1789849143.457060,1789849143.459024,1.9647,536870912
1,expert,1,fwd,gemm,1789849143.459028,1789849143.494977,35.9493,0
1,expert,1,bwd,gemm,1789849143.970317,1789849144.039221,68.9037,0
1,combine,1,fwd,a2a,1789849143.494980,1789849143.497990,3.0100,536158208
1,dispatch,2,fwd,a2a,1789849143.519198,1789849143.521130,1.9324,536870912
1,expert,2,fwd,gemm,1789849143.521133,1789849143.579179,58.0453,0
1,expert,2,bwd,gemm,1789849143.836157,1789849143.903796,67.6391,0
1,combine,2,fwd,a2a,1789849143.579183,1789849143.580850,1.6678,534052864
1,dispatch,3,fwd,a2a,1789849143.601457,1789849143.603431,1.9738,536870912
1,expert,3,fwd,gemm,1789849143.603434,1789849143.642437,39.0031,0
1,expert,3,bwd,gemm,1789849143.694625,1789849143.761067,66.4418,0
1,combine,3,fwd,a2a,1789849143.642441,1789849143.683987,41.5456,522706944
1,combine,3,bwd,a2a,1789849143.692507,1789849143.694623,2.1157,536870912
1,dispatch,3,bwd,a2a,1789849143.761070,1789849143.792735,31.6650,522706944
1,combine,2,bwd,a2a,1789849143.831125,1789849143.836154,5.0293,536870912
1,dispatch,2,bwd,a2a,1789849143.903799,1789849143.924864,21.0656,534052864
1,combine,1,bwd,a2a,1789849143.962947,1789849143.970315,7.3671,536870912
1,dispatch,1,bwd,a2a,1789849144.039224,1789849144.075460,36.2363,536158208
