iter,start_s,end_s,iter_ms,a2a_ms,expert_gemm_ms,a2a_share
0,1789849102.553459,1789849143.374975,40821.516,48.770,422.805,0.0012
1,1789849143.376114,1789849144.248684,872.570,198.067,437.798,0.2270
2,1789849144.249783,1789849145.167114,917.330,256.113,405.923,0.2792
3,1789849145.168402,1789849146.092791,924.389,246.954,403.975,0.2672
4,1789849146.093941,1789849147.412038,1318.098,563.253,402.200,0.4273
5,1789849147.413141,1789849148.732000,1318.859,412.239,648.721,0.3126
6,1789849148.733090,1789849150.283126,1550.036,815.998,401.703,0.5264
7,1789849150.284227,1789849151.963691,1679.464,883.972,399.131,0.5263
8,1789849151.964826,1789849153.451660,1486.835,717.826,403.138,0.4828
9,1789849153.452730,1789849155.108382,1655.652,871.616,398.288,0.5264
10,1789849155.109470,1789849156.599747,1490.277,721.562,400.902,0.4842
11,1789849156.600797,1789849158.029661,1428.864,688.498,401.146,0.4819
12,1789849158.030681,1789849160.013091,1982.409,1133.561,402.368,0.5718
13,1789849160.014149,1789849161.633274,1619.125,837.803,401.236,0.5174
14,1789849161.634343,1789849163.720820,2086.478,1294.952,447.320,0.6206
15,1789849163.721946,1789849165.502318,1780.371,944.583,400.436,0.5306
16,1789849165.503370,1789849167.105370,1602.000,825.369,401.312,0.5152
17,1789849167.106418,1789849169.069263,1962.845,1166.744,400.184,0.5944
18,1789849169.070346,1789849171.062930,1992.584,1160.456,400.875,0.5824
19,1789849171.066284,1789849172.912624,1846.339,1034.350,404.937,0.5602
