iter,start_s,end_s,iter_ms,a2a_ms,expert_gemm_ms,a2a_share
0,1789849102.508145,1789849143.373926,40865.781,50.170,421.280,0.0012
1,1789849143.374917,1789849144.249647,874.730,230.581,402.703,0.2636
2,1789849144.250592,1789849145.168239,917.647,214.249,446.061,0.2335
3,1789849145.169161,1789849146.092966,923.805,250.754,402.790,0.2714
4,1789849146.093946,1789849147.411967,1318.022,562.207,403.906,0.4266
5,1789849147.412924,1789849148.732671,1319.747,661.726,401.197,0.5014
6,1789849148.733598,1789849150.284714,1551.116,823.952,398.735,0.5312
7,1789849150.285649,1789849151.963425,1677.776,885.788,398.480,0.5280
8,1789849151.964430,1789849153.452168,1487.738,722.404,400.246,0.4856
9,1789849153.453092,1789849155.108345,1655.253,867.269,403.508,0.5239
10,1789849155.109285,1789849156.600156,1490.871,721.491,404.238,0.4839
11,1789849156.601056,1789849158.030335,1429.278,687.103,405.207,0.4807
12,1789849158.031213,1789849160.014314,1983.100,1139.812,401.791,0.5748
13,1789849160.015215,1789849161.633837,1618.622,846.110,395.899,0.5227
14,1789849161.634722,1789849163.720621,2085.899,1345.430,399.317,0.6450
15,1789849163.721562,1789849165.502774,1781.212,950.270,398.366,0.5335
16,1789849165.503673,1789849167.106302,1602.629,831.359,400.027,0.5187
17,1789849167.107185,1789849169.068981,1961.796,1165.236,402.029,0.5940
18,1789849169.069901,1789849171.064612,1994.711,1166.351,398.986,0.5847
19,1789849171.065579,1789849172.915076,1849.497,1042.881,402.984,0.5639
