iter,label,layer,direction,kind,start_s,end_s,duration_ms,nbytes
0,dispatch,0,fwd,a2a,1789849142.489643,1789849142.494115,4.4726,536870912
0,expert,0,fwd,gemm,1789849142.494115,1789849142.540943,46.8279,0
0,expert,0,bwd,gemm,1789849143.269568,1789849143.340298,70.7301,0
0,combine,0,fwd,a2a,1789849142.540947,1789849142.543018,2.0709,534257664
0,dispatch,1,fwd,a2a,1789849142.562627,1789849142.566019,3.3922,536870912
0,expert,1,fwd,gemm,1789849142.566021,1789849142.599764,33.7425,0
0,expert,1,bwd,gemm,1789849143.153111,1789849143.222347,69.2354,0
0,combine,1,fwd,a2a,1789849142.599768,1789849142.602991,3.2228,522027008
0,dispatch,2,fwd,a2a,1789849142.623291,1789849142.626701,3.4104,536870912
0,expert,2,fwd,gemm,1789849142.626705,1789849142.661117,34.4121,0
0,expert,2,bwd,gemm,1789849143.040639,1789849143.108027,67.3888,0
0,combine,2,fwd,a2a,1789849142.661123,1789849142.663694,2.5706,529489920
0,dispatch,3,fwd,a2a,1789849142.685307,1789849142.688419,3.1124,536870912
0,expert,3,fwd,gemm,1789849142.688424,1789849142.724065,35.6408,0
0,expert,3,bwd,gemm,1789849142.737881,1789849142.806131,68.2499,0
0,combine,3,fwd,a2a,1789849142.724068,1789849142.727134,3.0655,522985472
0,combine,3,bwd,a2a,1789849142.736127,1789849142.737879,1.7524,536870912
0,dispatch,3,bwd,a2a,1789849142.806135,1789849142.812911,6.7764,522985472
0,combine,2,bwd,a2a,1789849143.038854,1789849143.040634,1.7808,536870912
0,dispatch,2,bwd,a2a,1789849143.108029,1789849143.109802,1.7728,529489920
0,combine,1,bwd,a2a,1789849143.151080,1789849143.153109,2.0289,536870912
0,dispatch,1,bwd,a2a,1789849143.222350,1789849143.224486,2.1362,522027008
0,combine,0,bwd,a2a,1789849143.267807,1789849143.269566,1.7587,536870912
0,dispatch,0,bwd,a2a,1789849143.340303,1789849143.341987,1.6844,534257664
1,dispatch,0,fwd,a2a,1789849143.395481,1789849143.397480,1.9994,536870912
1,expert,0,fwd,gemm,1789849143.397483,1789849143.432642,35.1585,0
1,expert,0,bwd,gemm,1789849144.123034,1789849144.216192,93.1575,0
1,combine,0,fwd,a2a,1789849143.432644,1789849143.435309,2.6648,533340160
1,dispatch,1,fwd,a2a,1789849143.457034,1789849143.459029,1.9951,536870912
1,expert,1,fwd,gemm,1789849143.459032,1789849143.495091,36.0590,0
1,expert,1,bwd,gemm,1789849143.970658,1789849144.074054,103.3960,0
1,combine,1,fwd,a2a,1789849143.495094,1789849143.497990,2.8959,529883136
1,dispatch,2,fwd,a2a,1789849143.519238,1789849143.521246,2.0079,536870912
1,expert,2,fwd,gemm,1789849143.521249,1789849143.557674,36.4253,0
1,expert,2,bwd,gemm,1789849143.836646,1789849143.923840,87.1935,0
1,combine,2,fwd,a2a,1789849143.557677,1789849143.580300,22.6233,528023552
1,dispatch,3,fwd,a2a,1789849143.601408,1789849143.603426,2.0173,536870912
1,expert,3,fwd,gemm,1789849143.603429,1789849143.644361,40.9320,0
1,expert,3,bwd,gemm,1789849143.694647,1789849143.791297,96.6503,0
1,combine,3,fwd,a2a,1789849143.644364,1789849143.684018,39.6544,534618112
1,combine,3,bwd,a2a,1789849143.692574,1789849143.694644,2.0707,536870912
1,dispatch,3,bwd,a2a,1789849143.791301,1789849143.793016,1.7150,534618112
1,combine,2,bwd,a2a,1789849143.834991,1789849143.836643,1.6525,536870912
1,dispatch,2,bwd,a2a,1789849143.923842,1789849143.925605,1.7624,528023552
1,combine,1,bwd,a2a,1789849143.969125,1789849143.970655,1.5300,536870912
1,dispatch,1,bwd,a2a,1789849144.074057,1789849144.075615,1.5588,529883136
1,combine,0,bwd,a2a,1789849144.121356,1789849144.123031,1.6752,536870912
1,dispatch,0,bwd,a2a,1789849144.216195,1789849144.217983,1.7883,533340160
2,dispatch,0,fwd,a2a,1789849144.276854,1789849144.278929,2.0748,536870912
2,expert,0,fwd,gemm,1789849144.278932,1789849144.328941,50.0089,0
2,expert,0,bwd,gemm,1789849145.041527,1789849145.135190,93.6635,0
2,combine,0,fwd,a2a,1789849144.328944,1789849144.330612,1.6674,532815872
