iter,start_s,end_s,iter_ms,a2a_ms,expert_gemm_ms,a2a_share
0,1789849102.322162,1789849143.376277,41054.115,45.008,426.227,0.0011
1,1789849143.377337,1789849144.255881,878.544,89.611,528.972,0.1020
2,1789849144.256946,1789849145.181136,924.190,88.609,546.202,0.0959
3,1789849145.182279,1789849146.113747,931.468,33.399,569.605,0.0359
4,1789849146.114949,1789849147.422338,1307.389,47.529,834.848,0.0364
5,1789849147.423468,1789849148.755765,1332.297,264.668,726.620,0.1987
6,1789849148.757179,1789849150.331810,1574.631,55.554,1008.414,0.0353
7,1789849150.333513,1789849151.997800,1664.287,64.608,1065.811,0.0388
8,1789849151.999307,1789849153.493053,1493.747,52.896,956.866,0.0354
9,1789849153.494544,1789849155.149410,1654.866,59.482,1061.943,0.0359
10,1789849155.150895,1789849156.633286,1482.392,54.344,944.232,0.0367
11,1789849156.634444,1789849158.088254,1453.809,66.576,913.912,0.0458
12,1789849158.090421,1789849160.055061,1964.640,78.872,1270.600,0.0401
13,1789849160.056461,1789849161.668866,1612.404,61.485,1032.789,0.0381
14,1789849161.670059,1789849163.776391,2106.332,85.205,1394.059,0.0405
15,1789849163.778039,1789849165.542710,1764.670,69.863,1129.203,0.0396
16,1789849165.544203,1789849167.145339,1601.136,60.210,1010.204,0.0376
17,1789849167.146949,1789849169.120610,1973.661,76.640,1289.473,0.0388
18,1789849169.122192,1789849171.114001,1991.808,75.894,1293.139,0.0381
19,1789849171.115598,1789849172.957948,1842.350,70.508,1192.529,0.0383
