iter,start_s,end_s,iter_ms,a2a_ms,expert_gemm_ms,a2a_share
0,1789849132.668885,1789849143.372954,10704.070,55.919,417.078,0.0052
1,1789849143.374465,1789849144.248099,873.634,242.021,393.567,0.2770
2,1789849144.249267,1789849145.171851,922.584,264.854,393.645,0.2871
3,1789849145.172951,1789849146.094473,921.522,261.630,392.623,0.2839
4,1789849146.095593,1789849147.413768,1318.175,534.875,432.087,0.4058
5,1789849147.414886,1789849148.733214,1318.327,661.879,400.688,0.5021
6,1789849148.734262,1789849150.285631,1551.369,816.820,408.017,0.5265
7,1789849150.286689,1789849151.963477,1676.788,891.220,393.075,0.5315
8,1789849151.964598,1789849153.451456,1486.858,681.623,439.890,0.4584
9,1789849153.452552,1789849155.108920,1656.368,878.718,393.933,0.5305
10,1789849155.110058,1789849156.601228,1491.170,732.953,393.439,0.4915
11,1789849156.602278,1789849158.030463,1428.185,702.181,389.854,0.4917
12,1789849158.031486,1789849160.014287,1982.801,1127.322,413.758,0.5686
13,1789849160.015357,1789849161.634617,1619.261,846.166,397.570,0.5226
14,1789849161.635682,1789849163.720752,2085.069,1353.274,390.800,0.6490
15,1789849163.726900,1789849165.503600,1776.700,953.236,398.868,0.5365
16,1789849165.504656,1789849167.105724,1601.068,831.647,397.853,0.5194
17,1789849167.106765,1789849169.070067,1963.301,1176.034,395.100,0.5990
18,1789849169.071200,1789849171.063901,1992.701,1169.563,394.351,0.5869
19,1789849171.065063,1789849172.914112,1849.049,1050.605,394.920,0.5682
