iter,start_s,end_s,iter_ms,a2a_ms,expert_gemm_ms,a2a_share
0,1789849102.439411,1789849143.374611,40935.200,46.843,423.965,0.0011
1,1789849143.375690,1789849144.249284,873.594,228.318,407.684,0.2614
2,1789849144.250393,1789849145.169915,919.522,255.625,404.720,0.2780
3,1789849145.170894,1789849146.095006,924.111,244.086,407.272,0.2641
4,1789849146.096009,1789849147.412721,1316.712,564.040,403.808,0.4284
5,1789849147.413666,1789849148.732930,1319.265,623.683,436.335,0.4728
6,1789849148.733871,1789849150.283283,1549.412,814.361,404.623,0.5256
7,1789849150.284242,1789849151.963442,1679.200,877.529,404.843,0.5226
8,1789849151.964477,1789849153.452355,1487.878,719.631,402.995,0.4837
9,1789849153.453311,1789849155.107749,1654.438,865.747,403.337,0.5233
10,1789849155.108723,1789849156.600983,1492.260,720.525,405.961,0.4828
11,1789849156.601889,1789849158.028702,1426.813,633.534,453.367,0.4440
12,1789849158.029868,1789849160.013137,1983.269,1127.173,407.174,0.5683
13,1789849160.014102,1789849161.632710,1618.608,832.022,405.899,0.5140
14,1789849161.633678,1789849163.721879,2088.201,1343.780,401.983,0.6435
15,1789849163.722841,1789849165.502184,1779.343,942.556,405.218,0.5297
16,1789849165.503124,1789849167.106565,1603.442,826.836,402.555,0.5157
17,1789849167.107485,1789849169.068307,1960.822,1155.885,409.113,0.5895
18,1789849169.069217,1789849171.063407,1994.190,1155.225,407.722,0.5793
19,1789849171.064747,1789849172.915256,1850.509,1041.830,403.535,0.5630
