iter,start_s,end_s,iter_ms,a2a_ms,expert_gemm_ms,a2a_share
0,1789849102.594251,1789849143.375742,40781.491,48.236,424.570,0.0012
1,1789849143.376835,1789849144.249078,872.242,219.900,414.638,0.2521
2,1789849144.250123,1789849145.167867,917.744,196.856,465.061,0.2145
3,1789849145.168903,1789849146.093323,924.421,241.648,410.325,0.2614
4,1789849146.094388,1789849147.412223,1317.836,556.818,409.053,0.4225
5,1789849147.413227,1789849148.733069,1319.842,653.644,408.668,0.4952
6,1789849148.734099,1789849150.284052,1549.953,813.099,407.010,0.5246
7,1789849150.285089,1789849151.963562,1678.473,874.726,406.027,0.5211
8,1789849151.964657,1789849153.451140,1486.483,711.153,409.034,0.4784
9,1789849153.452183,1789849155.107906,1655.723,863.476,405.143,0.5215
10,1789849155.108948,1789849156.600812,1491.864,717.226,409.138,0.4808
11,1789849156.601835,1789849158.028933,1427.098,678.128,409.451,0.4752
12,1789849158.029956,1789849160.014466,1984.509,1131.872,404.633,0.5704
13,1789849160.015493,1789849161.633572,1618.079,837.802,402.335,0.5178
14,1789849161.634595,1789849163.720961,2086.366,1334.031,409.772,0.6394
15,1789849163.722007,1789849165.503255,1781.248,945.026,403.798,0.5305
16,1789849165.504261,1789849167.106813,1602.552,824.839,406.373,0.5147
17,1789849167.107815,1789849169.069343,1961.528,1159.779,406.009,0.5913
18,1789849169.070374,1789849171.064207,1993.834,1159.247,403.912,0.5814
19,1789849171.065254,1789849172.913787,1848.532,1034.356,407.132,0.5596
