iter,start_s,end_s,iter_ms,a2a_ms,expert_gemm_ms,a2a_share
0,1789849102.515793,1789849143.373635,40857.842,56.636,417.589,0.0014
1,1789849143.374880,1789849144.248497,873.617,229.694,405.820,0.2629
2,1789849144.249606,1789849145.167211,917.605,217.087,442.051,0.2366
3,1789849145.168406,1789849146.092702,924.295,234.955,410.896,0.2542
4,1789849146.093771,1789849147.412052,1318.282,566.913,400.583,0.4300
5,1789849147.413143,1789849148.733265,1320.121,663.132,399.495,0.5023
6,1789849148.734329,1789849150.283955,1549.625,818.814,400.588,0.5284
7,1789849150.285033,1789849151.963715,1678.682,885.215,397.685,0.5273
8,1789849151.964856,1789849153.451520,1486.664,715.952,404.163,0.4816
9,1789849153.452584,1789849155.108550,1655.966,869.526,401.519,0.5251
10,1789849155.109690,1789849156.600460,1490.770,724.481,400.600,0.4860
11,1789849156.601539,1789849158.029975,1428.436,687.663,402.801,0.4814
12,1789849158.030988,1789849160.012911,1981.923,1136.362,399.094,0.5734
13,1789849160.014014,1789849161.633199,1619.186,838.374,401.320,0.5178
14,1789849161.634289,1789849163.720878,2086.590,1344.530,398.815,0.6444
15,1789849163.721996,1789849165.502139,1780.144,950.996,398.752,0.5342
16,1789849165.503159,1789849167.105723,1602.564,822.720,406.156,0.5134
17,1789849167.106731,1789849169.069490,1962.759,1169.056,400.551,0.5956
18,1789849169.070554,1789849171.063233,1992.679,1159.407,402.489,0.5818
19,1789849171.064734,1789849172.914176,1849.442,1041.691,403.344,0.5632
